bprl	abporal
bprls	abporals
bsrbt	absorbat
bsrbts	absorbats
cdmcdcnt	academicodocent
cdmcdcnts	academicodocents
clmd	acalimada
clmds	acalimades
clmt	acalimat
clmts	acalimats
cts	acatísia
ctss	acatísies
ccptr	acceptora
ccptrs	acceptores
ccssrtt	accessorietat
ccssrtts	accessorietats
ctls	acetòlisi
ctlss	acetòlisis
ctls	acetilasa
ctlss	acetilases
ctltc	acetolític
ctltc	acetolítica
ctltcs	acetolítics
ctltqs	acetolítiques
cdbsc	acidobàsic
cdbsc	acidobàsica
cdbscs	acidobàsics
cdbsqs	acidobàsiques
crpq	acropàquia
crpqs	acropàquies
ctplnlg	actuopalinologia
ctplnlgs	actuopalinologies
dmsc	adamascà
dmscrm	adamascàrem
dmscr	adamascàreu
dmscvm	adamascàvem
dmscv	adamascàveu
dmsc	adamasca
dmscd	adamascada
dmscds	adamascades
dmscnt	adamascant
dmscr	adamascarà
dmscrs	adamascaràs
dmscr	adamascaré
dmscrm	adamascaríem
dmscr	adamascaríeu
dmscr	adamascar
dmscrn	adamascaran
dmscrm	adamascarem
dmscrn	adamascaren
dmscrs	adamascares
dmscr	adamascareu
dmscr	adamascaria
dmscrn	adamascarien
dmscrs	adamascaries
dmsct	adamascat
dmscts	adamascats
dmscv	adamascava
dmscvn	adamascaven
dmscvs	adamascaves
dmsc	adamasco
dmsqs	adamasqués
dmsqssm	adamasquéssim
dmsqss	adamasquéssiu
dmsq	adamasquí
dmsqm	adamasquem
dmsqs	adamasquis
ddct	addictiu
ddcts	addictius
ddctv	addictiva
ddctvs	addictives
dndl	adenoidal
dndls	adenoidals
dnsnfsft	adenosinafosfat
dnsnfsfts	adenosinafosfats
d	adeu
d-s	adeu-siau
ds	adeus
dbtctt	adiabaticitat
dbtctts	adiabaticitats
drncrtctrp	adrenocorticòtrop
drncrtctrp	adrenocorticòtropa
drncrtctrps	adrenocorticòtropes
drncrtctrps	adrenocorticòtrops
rvgnt	aerovagant
rvgnts	aerovagants
fctd	afacetada
fctds	afacetades
fctt	afacetat
fctts	afacetats
g	agúi
gn	agúin
gs	agúis
g	agúo
gkn	agakan
gkns	agakans
grnc	agerenc
grnc	agerenca
grncs	agerencs
grnqs	agerenques
gnstd	agnòstid
gnstds	agnòstids
gnsd	agnusdei
gnsds	agnusdeis
grn	agrina
grns	agrines
grfrstl	agroforestal
grfrstls	agroforestals
grsstm	agrosistema
grsstms	agrosistemes
gmnt	aguament
gmnts	aguaments
h	ahà
g-sntr	aigua-santera
g-sntrs	aigua-santeres
ggm	aiguagim
ggms	aiguagims
l·lgm	al·lògam
l·lgm	al·lògama
l·lgms	al·lògames
l·lgms	al·lògams
l·lntdl	al·lantoidal
l·lntdls	al·lantoidals
l·lqsts	al·laquestèsia
l·lqstss	al·laquestèsies
l·ldn	al·lodínia
l·ldns	al·lodínies
l·lqsts	al·loquestèsia
l·lqstss	al·loquestèsies
l·lrrzc	al·lorrízic
l·lrrzc	al·lorrízica
l·lrrzcs	al·lorrízics
l·lrrzqs	al·lorríziques
lctc	alàctic
lctc	alàctica
lctcs	alàctics
lctqs	alàctiques
lbrgr	alborager
lbrgr	alboragera
lbrgrs	alborageres
lbrgrs	alboragers
ldrns	aldrins
lgl	alegal
lgls	alegals
lfrb	alfarbí
lfrbn	alfarbina
lfrbns	alfarbines
lfrbns	alfarbins
lfsl	alfisol
lfsls	alfisols
